nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V010142,2016-08-21 12:40:00,SIKOPI 2,ASKC 2,11 ,11,, ,Sikopi
V010052,2016-08-21 14:00:00,SIKOPI RES,ASKC RES,17 ,8,, ,Sikopi
V010032,2016-08-21 15:30:00,SIKOPI,ASKC,29 ,10,, ,Sikopi
V020140,2016-08-28 12:40:00,PUTSE 2,SIKOPI 2,19 ,9,, ,Putse
V020050,2016-08-28 14:00:00,PUTSE RES,SIKOPI RES,7 ,15,, ,Putse
V020030,2016-08-28 15:30:00,PUTSE,SIKOPI,18 ,22,, ,Putse
V030264,2016-09-04 00:00:00,SIKOPI 4,VRIJ,,,, ,
V030232,2016-09-04 10:45:00,SIKOPI 3,ASKC 4,9 ,7,, ,Sikopi
V030141,2016-09-04 12:40:00,SIKOPI 2,RIVIERA 2,15 ,10,, ,Sikopi
V030051,2016-09-04 14:00:00,SIKOPI RES,RIVIERA RES,16 ,11,, ,Sikopi
V030031,2016-09-04 15:30:00,SIKOPI,RIVIERA,22 ,9,, ,Sikopi
V040264,2016-09-11 10:00:00,KWIK 4,SIKOPI 4,,,, ,Kwik
V040230,2016-09-11 11:00:00,CATBA 4,SIKOPI 3,,,, ,Catba
V040140,2016-09-11 12:40:00,SIKOPI 2,VOBAKO 2,,,, ,Sikopi
V040050,2016-09-11 14:00:00,SIKOPI RES,VOBAKO RES,,,, ,Sikopi
V040030,2016-09-11 15:30:00,SIKOPI,VOBAKO,,,Thierry Vangoidsenhoven, ,Sikopi
V050264,2016-09-18 09:45:00,SIKOPI 4,RIVIERA 4,,,, ,Sikopi
V050231,2016-09-18 10:45:00,SIKOPI 3,GANDA 4,,,, ,Sikopi
V050140,2016-09-18 12:40:00,SIKOPI 2,LEUVEN 2,,,, ,Sikopi
V050050,2016-09-18 14:00:00,SIKOPI RES,LEUVEN RES,,,, ,Sikopi
V050030,2016-09-18 15:30:00,SIKOPI,LEUVEN,,,Dave Mertens, ,Sikopi
V060140,2016-09-24 17:30:00,TEMSE 2,SIKOPI 2,,,, ,Temse
V060050,2016-09-24 18:45:00,TEMSE RES,SIKOPI RES,,,Patrick Desmet, ,Temse
V060030,2016-09-24 20:30:00,TEMSE,SIKOPI,,,Tina Van Grimberge, ,Temse
V060261,2016-09-25 11:00:00,BEVEREN_WAAS,SIKOPI 4,,,, ,Beveren - Gemeentelijke Sportcentrum
V060230,2016-09-25 12:00:00,HOVE 2,SIKOPI 3,,,, ,Hove
V070264,2016-10-02 09:45:00,SIKOPI 4,Hoboken/Mercurius 5,,,, ,Sikopi
V070230,2016-10-02 10:45:00,SIKOPI 3,Hoboken/Mercurius 4,,,, ,Sikopi
V070140,2016-10-02 12:40:00,SIKOPI 2,VOORWAARTS 2,,,, ,Sikopi
V070050,2016-10-02 14:00:00,SIKOPI RES,VOORWAARTS RES,,,, ,Sikopi
