nummer,datum,thuisploeg,bezoekers,aantal_thuis,aantal_bezoekers,scheidsrechter,jury,locatie
V030122,2016-09-03 19:00:00,DEURNE RES,EKERSE RES,13 ,5,, ,Deurne
V030082,2016-09-03 20:30:00,DEURNE,EKERSE,19 ,3,, ,Deurne
V030254,2016-09-04 00:00:00,DEURNE 2,VRIJ,,,, ,
V030270,2016-09-04 11:00:00,VOORWAARTS 7,DEURNE 3,10 ,11,, ,Voorwaarts
V040270,2016-09-11 00:00:00,VRIJ,DEURNE 3,,,, ,
V040254,2016-09-11 10:00:00,KCBJ 2,DEURNE 2,,,, ,KCBJ
V040080,2016-09-11 14:00:00,O.ANDERLECHT,DEURNE,,,Kurt Vanlerberghe, ,Anderlecht
V040120,2016-09-11 15:30:00,O.ANDERLECHT RES,DEURNE RES,,,, ,Anderlecht
V050121,2016-09-17 19:00:00,DEURNE RES,KCOV RES,,,, ,Deurne
V050081,2016-09-17 20:30:00,DEURNE,KCOV,,,Erik Van Hove, ,Deurne
V050254,2016-09-18 10:00:00,DEURNE 2,VOBAKO 3,,,, ,Deurne
V050270,2016-09-18 11:00:00,DEURNE 3,KCBJ 3,,,, ,Deurne
V060080,2016-09-24 19:00:00,KC Limes,DEURNE,,,Kris Meeus, ,Limes
V060120,2016-09-24 20:30:00,KC LIMES RES,DEURNE RES,,,, ,Limes
V060251,2016-09-25 10:00:00,FLORIANT 4,DEURNE 2,,,, ,Floriant
V060274,2016-09-25 10:00:00,AKC/Luma 5,DEURNE 3,,,, ,AKC
V070120,2016-10-01 19:00:00,DEURNE RES,RKC RES,,,, ,Deurne
V070080,2016-10-01 20:30:00,DEURNE,RKC,,,Jozef Van Acker, ,Deurne
V070254,2016-10-02 10:00:00,DEURNE 2,TEMSE 4,,,, ,Deurne
V070270,2016-10-02 11:00:00,DEURNE 3,RIVIERA 5,,,, ,Deurne
V080080,2016-10-08 18:30:00,VOS REINAERT,DEURNE,,,, ,Vos Reinaert
